id,lon,lat,title,roi_err,w_code,level,far_fog_color,s_value,l_value,v_value,hsl,road_code
1,37.7585460,128.8047310,강릉휴게소(인천)_20170105_1130-1230_주간_눈비.avi,N,fog,1,151,0,0,1020,0,0
2,37.7576808,128.8037010,강릉휴게소(인천)_20170105_1130-1230_주간_눈비_2.avi,N,snow,1,149,0,0,1020,0,0
3,37.7574603,128.8023277,강릉휴게소(인천)_20170105_1130-1230_주간_눈비_3.avi,N,fog,1,151,0,0,1020,0,0
4,37.7571210,128.8010617,강릉휴게소(인천)_20170120_1400-1430_주간_눈안개.avi,N,fog,1,158,0,0,123,0,0
5,37.7585460,128.8047310,강릉휴게소(인천)_20170120_1400-1430_주간_눈안개_2.avi,N,fog,1,156,0,0,93,0,0
6,37.7585460,128.8047310,강릉휴게소(인천)_20170120_1400-1430_주간_눈안개_3.avi,N,fog,1,157,0,0,82,0,0
7,37.7585460,128.8047310,강릉휴게소(인천)_20170120_1530-1600_주간_눈.avi,N,fog,1,148,0,0,166,0,0
8,37.7585460,128.8047310,강릉휴게소(인천)_20170120_1530-1600_주간_눈_2.avi,N,fog,1,126,0,0,1020,0,0
9,37.7585460,128.8047310,강릉휴게소(인천)_20170120_1530-1600_주간_눈_3.avi,N,snow,0,124,0,0,1020,0,0
10,37.7585460,128.8047310,강릉휴게소(인천)_20170129_1500-1600_주간_눈안개.avi,N,fog,0,136,0,0,1020,0,0
11,37.7585460,128.8047310,강릉휴게소(인천)_20170129_1500-1600_주간_눈안개_2.avi,N,fog,0,137,0,0,1020,0,0
12,37.7585460,128.8047310,강릉휴게소(인천)_20170129_1500-1600_주간_눈안개_3.avi,N,fog,0,138,0,0,1020,0,0
13,37.7585460,128.8047310,강릉휴게소(인천)_20170130_1245-1345_주간_눈안개.avi,N,snow,1,147,0,0,1020,0,0
14,37.7585460,128.8047310,강릉휴게소(인천)_20170130_1245-1345_주간_눈안개_2.avi,N,fog,0,159,0,0,1020,0,0
15,37.7585460,128.8047310,강릉휴게소(인천)_20170130_1245-1345_주간_눈안개_3.avi,N,fog,0,160,0,0,1020,0,0
